,COLOER KEY --->>>>>,,Priority clinic list ,atena open tracker ,Large hospitals popped in by mellisa will be snail mailing them ,atena open tracker ,Includes Exotics ,,,,,,,,,,,,,,
,Los Angeles Animal Specialty Emergency & Rehabilitation (LAASER),,,,,,,,,,,,,,info@laaser.vet,,Google Maps Link,,,,
YES - by Mellisa ,Los Angeles Veterinary Center,2/5/25_LM DVM Visit - 3/11/25_LM  ,SUPER CLINIC ,,Unknown,Venice,,1,3,3,3/11/25,,Dr. Victor Ramierez - Founder,323-685-7131, info.laveterinarycenter@gmail.com,"109 N Boyle Ave, Los Angeles, CA 90033",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Malibu Coast Animal Hospital,"6/1/23_Emailed, Maildropped, & DVM visit",YES,,Unknown,"Venice, Aetna, SO",,,unkown,unkown,,,Dr. Dean Graulich,424.402.5100,information@mlibuvets.com,"23431 Pacific Coast Highway, Malibu",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Mar Vista Animal Medical Center,6/1/23 2/18/25,High Potential,,Unknown,Venice,,,3,3,,,"Dr. Wendy Brooks, Dr. Leslie Moore, Dr. Jenny Johnson, Dr. Linda Larsen,",(310) 391-6741,MarVistaAMC@gmail.com,"3850 Grand View Blvd, Los Angeles, CA 90066",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Marina Veterinary Center,6/1/23_Emailed,Yes,,Unknown,Venice,,1,unkown,unkown,,,"Dr. Jarrod Moss, Dr. Karen Halligan",310.642.8080,INFO@MARINAVET.COM,"8421 Lincoln Blvd, Los Angeles, CA 90045",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Gladys ,MASH- Metropolitan Animal Specialty Hospital,5/9/23_ Spoke to Allison- NG (sent email),YES,Attended,Unknown,"Aetna, Venice",Nissan Mosapor,,unkown,unkown,,,"Armen Hakobyan (Hospital Director) Dr. Domenico Bianco, Dr. Joseph V. Bisignano, Dr. Jodi Kuntz, Dr. Ricardo Sanchez, Dr. Elizabeth Yi, Dr. Daniel Avenick, Dr. Linda Ahn, Dr. Alexis Kotelko, Dr. Diana Jacinto, Dr. Patrick Kirk, Dr. Shyvonne Mathias, Dr. Catherine Frey, Dr. Shaylee Albert, Dr. Paul Hobson, Dr. Eva Ganz, Dr. Tracy Yen, Dr. Rick Lanuza, Dr. Tara Stonex, Dr. Jeremy O'Neill, Dr. Tricia Tai, Dr. Annalis Cigarroa, Dr. Lisa Weeth, Dr. Jose De Jesus Ruiz Romero,Dr. Rose Dicovitsky","323.238.9295
855.350.7387",reception@mash.vet,"6565 Santa Monica Blvd, LA, 90038",Google Maps Link,,UNKNOWN,,
Visit 3/19,McGrath Veterinary Center,"3/3/25_LM DVM Visit
2/25/25_DVM Visit, Manager/RVT  Vickie-Lynne Crisosto, Referral Packet, Just rolled out UC and Emergency",High Potential,,Unknown,"Aetna, SO",,,3,3,,,"Dr. Brian McGrath DVM (Owner), Dr. Grace Song DVM, Dr. Michelle Miller DVM, Dr. Elysa Braunstein VMD, Dr. Supreet Dhillon DVM, Dr. Rubie Medina DVM, Dr. Salpi Shahbenderian DVM ",818.796.4550,"info@mcgrathvet.com, records@mcgrathvet.com, vickielynn@mcgrathvet.com","4560 Sherman Oaks Ave, Sherman Oaks, CA 91403",Google Maps Link,2023-06-01,SPE,,"Emergency, Diagnostics, Laser Therapy"
,Melrose Animal Hospital ,,,,,,,,,,,,,(323) 937.2334,,7116 Melrose Ave Los Angeles CA 90045,Google Maps Link,,,,
Visit 3/19,Mid Valley Veterinary Hospital ,"3/3/25_LM DVM Visit
2/5/25_LM DVM Visit",Yes,,Unknown,"Aetna, SO",,1,2,2,,,DR. MICHAEL PITT ,818-705-4585,midvalleyveterinaryhospital@gmail.com,"17280 Saticoy St. Van Nuys, CA 91406",,,SPE,,"Dermatology, Advanced Orthopedic Surgery, Soft Tissue Surgery"
Visit 3/21,Missions Veterinary Clinic and Animal Emergency Hospital,"3/17_GF: New clinic - was not added to this spreadsheet 
2/26/25 - 2/27/25_ LM DVM Visit, Danny, left with CSR, Referral Packet, Big practice, couldnt get past Desk, need to chat with CEO",,,Unknown,"Aetna, SO",,,2,1,,,"Dr. Ani Sefildzhian, Dr. Minae Thak, Dr. Cong Li, Dr. Benedict Pamintuan,  Dr. Richard Kim",(747) 800-5706,missionveterinaryclinic@gmail.com,"16915 San Fernando Mission Blvd, Granada Hills Ca 91344",,,SPE,,Emergency
YES - by Mellisa ,Modern Animal - Culver City ,3/3/25,NO,,Unknown,Venice,,,2,2,,,,(310) 473-4295,hello@modernanimal.com,"4300 Sepulveda Blvd, Culver City, CA 90230",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Modern Animal - Studio City ,3/11/25_LM DVM Visit,SUPER CLINIC ,,Unknown,"Aetna, SO",,,3,3,3/11/25,,"Dr. Annie Kang, Dr. Cesar Diaz, Dr. Patty Thongnamsap, Dr. Alexandra Barker",866-505-8755,hello@modernanimal.com,"12157 Ventura Blvd., Studio City, CA, 91604",,,GP,,
,Moorpark Veterinary Hospital,,,,,,,,,,,,,(805) 529-7003,,"484 E Los Angeles Ave UNIT 104, Moorpark, CA 93021",,,,,
Visit 3/21,North Valley Veterinary Clinic,"2/26/25 - 2/27/25_LMDVM Visit, Left with CSR, Referral Packet, Very small, say lots of servces, no idea how they do them there, no DVM available, spoke to reception, went over GDD.com",,,Unknown,"Aetna, SO",,,1,1,,,"Dr. William Bender (Owner), Dr. Choi, Dr. Frankie",818-366-7777,,11152 Balboa Blvd. Granada Hills CA 91344,,,SPE,,"Orthopedics, Dentistry, Dermatology, Cardiology"
Visit 3/21,Northridge Pet Hospital,"2/26/25 - 2/27/25_LM DVM Visit
10/22/24_Dr. Chaim Mei-Tal, left with CSR, Referral Packet, Covid protocols still, couldnt get into hospital, recpetion drop off, no quality convo",,,Unknown,"Aetna, SO",,,1,1,,,Dr. Chaim Mei-Tal,818-885-8323,Northridgepethospital@gmail.com,"8615 Lindley Ave, Northridge, CA, 91325",,,SPE,,"Behavior, Cardiology, Dentistry, Dermatology, Geriatric/ Senior Patient Care, Internal Medicine, Laboratory Services, Oncology, Ophthalmology, Diagnostic Imaging, Hip Evaluation, Reproductive Services"
YES - by Mellisa ,Overland Veterinary Clinic,6/1/23,Yes,,Unknown,Venice,,2,3,3,,,"Dr. Daniel Lee, Dr. Vallard Forsythe, Dr. Kim Bhuta, Dr. Esmeralda Cano, Dr. Nartash Weerarantne, Dr. Fu-Chi Yu",(424) 228-9929,contact@overlandvetclinic.com,"2237 Colby Ave, Los Angeles, CA 90064",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Pacific Animal Clinic,6/1/23_Michele knows Dr.Geist,NO,,Unknown,Venice,,,unkown,unkown,,,"Michele Karron, DVM, Lindsey Gilbert, DVM, Holly Jordan, DVM",(310) 473-4030,"drk@pacificanimalclinic.com, contact@pacificanimalclinic.com","11343 Santa Monica Blvd, Los Angeles, CA 90025",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Pacific Palisades Vet Center,6/1/23,YES,,Unknown,Venice,,,unkown,unkown,,,"Dr. Kathy Litochleb, Dr. Holly Jordan, Dr. Cecile Mercado, Daisy Cruise Technician, David Rice Technician, Magen Prado Technician",310.573.7707,hello@palivet.com,"853 Vía De La Paz, Pacific Palisades, CA 90272",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Palisades Animal Clinic,"6/17_Spoke to Charlotte and she said that 10 vets have access to this email, I asked for the head vet but she said they all have access- NG
6/1/23",YES,,Unknown,Venice,,,unkown,unkown,,,"Dr. Dana DePerno, Dr. Lisa Newell, Dr. Cecile Mercado",310.454.6503,information@malibuvets.com,"16636 Marquez Ave, Pacific Palisades, CA 90272",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Palms and Paws Veterinary Center,2/18/25_LM DVM Visit,Yes,,Unknown,Venice,,2,3,3,,,Dr. Kevin McEvilly,866-725-6729,Hello@palmspawsvet.com,,,,UNKNOWN,,
Visit 3/21,Panorama Pet Hospital ,"2/26/25 - 2/27/25_LM DVM Visit, Manager Tammy Harrison, Referral Packet, 2 dvm, very small, older dvm runs the show, need to speak with him",,,Unknown,"Aetna, SO",,,1,1,,,"Dr. Rashi Gupta DVM, Dr. Suman Prabahakar DVM",818-786 - 4300,panoramapet@gmail.com,"14519 Arminta St. Panorama City, CA 91402",,,GP,,
YES - by Mellisa ,Pasternak Vet Center,3/3/25,Yes,,Unknown,"Venice, Aetna, SO",,1,3,3,,,"Henry Pasternak D.V.M., C.V.A",310.268.2275,info@pasternakvetcenter.com,"2038 S Sepulveda Blvd, West Los Angeles, CA 90025",Google Maps Link,2023-06-01,UNKNOWN,,
,PAW REHAB Pacific Animal Wellness Rehabilitation Center,7/1/25_ GF - love this place met brock and the Vet  Dr. Bak she was VERY nice - want to invote them to come tour with us   ,,,,,,,,,,,Dr. Bak ,818) 847-7299,info@pawrehab.com,"14942 Ventura Blvd, Sherman Oaks, CA 91403",,,,,
YES - by Mellisa ,Paws and Claws Hospital & Mobile Vet,"6/1/23_Materials Dropped, DVM Visited",NO,,Unknown,"Aetna, SO",,,unkown,unkown,,,Dr. Rick Garcia,,pcmvet@gmail.com,,Google Maps Link,2023-06-01,UNKNOWN,,
,Paw Priority Veterinary Urgent Care ,,,,,,,,,8/19/2025,,,,,,,Google Maps Link,,,,
,Peaceful Paws,,,Attended,Unknown,,Dr. Tamera Chan,,,,,,Dr. Tamera Chan,818.850.7297. ,,Mobile Clinic,Google Maps Link,,,,
,Peaceful Pets Aquamation,,,Attended,Unknown,,Dr. MARY JO HOWE,,,,,,,(818) 477-2766,info@peacefulpetsaquamation.com,"19727 Bahama St.
Northridge, CA. 91324",Google Maps Link,,,,
Visit 3/21,Pet Cure Veterinary Center,"3/3/25_LM DVM Visit
2/5/25_LM DVM Visit",,,Unknown,"Aetna, SO",,,2,2,,,"Dr. Amanda Munoz, Dr. Tostado ",818-996-0000,petcurevetreseda@gmail.com,"18205 Sherman Way Reseda, CA 91335",,,SPE,,Orthopedic
,Pet Orphans of Southern California,,,Attended,Unknown,,"Kye Hill
Dasha",,,,,,,(818) 901-0190,info@petorphans.org,"7720 Gloria Ave, Van Nuys, CA 91406",Google Maps Link,,,,
,Pinnacle Veterinary Center,,,,,,,,,,,,Dr. Scott Amsel (Used to work onthe My Pet Truck) ,661.254.2000,pinnaclevet@vetsantaclarita.com,23026 Soledad Canyon Rd Santa Clarita CA 91350,Google Maps Link,,,,
YES - by Mellisa ,Rancho Park Veterinary Clinic,2/18/25_LM DVM Visit,Yes,,Unknown,Venice,,1,1,1,,,Dr. Nicolayevsky Zekaria,310.474.3398,office@ranchoparkveterinaryclinic.com,"10585 W Pico Blvd, LA, 90064",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Redondo Shores Veterinary Center,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,, (855) 350-7387,info@redondoshoresvet.com,"701 S Pacific Coast Hwy Redondo Beach, CA 90277",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/19,San Fernando Pet Hospital,3/17_GF: New clinic - was not added to this spreadsheet but popped up in our referral report ,Yes,,Unknown,"Aetna, SO",,1,1,NEW CLINIC NEVER VISITED! ,,,,(818) 361-8636,info@sanfernandovet.com,"1523 Truman St., San Fernando, CA 91340",Google Maps Link,,,,
YES - by Mellisa ,Santa Monica Pet Medical Center,"3/17/25_GF: HOW was this clinic NOT marked a super clinic?!?!  ____ 6/17_NG_ spoke to CC and she said Dr. Hernandez will be back on June 27th but when they receive an email they print it out and put it on her back- NG 
6/1/23_NG_ Emailed",Yes,,Unknown,Venice,,5,unkown,unkown,,,"Dr. Anthony George, Dr. Camille O'Donnell, Dr. Annie Hernandez, Dr. Katherine Hillebrand, Dr. Todd Schwarzmann, Dr. Courtney Williams, Dr. Susan Greenbaum",(310) 393-8218,recp@petmedical.com,"1534 14th St, Santa Monica, CA 90404",Google Maps Link,2023-06-01,UNKNOWN,,
,Santa Clarita Animal Hospital ,,,,,,,,,,,,Dr. Anh Tran / Dr. Tessa Sures / Dr. Carly Brink ,661-259-7387,svcanimalhospital@gmail.com,"24899 Railroad Ave Santa Clarita, CA 91321 ",Google Maps Link,,,,
YES - by Mellisa ,Sepulveda Animal Hospital,6/1/23 - 2/18/25_LM,YES,,Unknown,Venice,,,1,1,,,"Dr.Claire Guines, Dr Helene Tolliver","424-624-7811
(310) 473-4295",info@sepulvedaanimalhospital.com,"4300 Sepulveda Blvd, Culver City, CA 90230",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Serenity Vet Care,6/1/23,NO,,Unknown,"Aetna, Venice, SO",,,unkown,unkown,,,"-Dr. Benjamin Rosnick, Dr. Lindsey Wendt, Mayela Villalobos VT, Dr. Jordan Davis-Powell, Dr. Angela Randall, Euth Services, Dr. Annie Hernandez",,info@serenityvetcare.com,"701 S Pacific Coast Hwy, Redondo Beach, CA 90277",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/21,Shadow Hills Pet Clinic,3/17_GF: New clinic - was not added to this spreadsheet ,,,Unknown,"Aetna, SO",,,NEW CLINIC NEVER VISITED! ,NEW CLINIC NEVER VISITED! ,,,,(818) 767-3945,,"11814 Sheldon St, Sun Valley, CA 91352",Google Maps Link,,,,
YES - by Mellisa ,Shane Veterinary Medical Center,"6/1/23, 3/1/22_drop off brochures 2/18/25_LM",Yes,,Unknown,Venice,,1,3,3,,,Dr. Shane,(310) 540-5588,"info@shanevet.com, rstone@shaenvet.com",,Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Shelter Vet,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,,,reception@sheltervetinc.com,"13428 Maxella Ave #770, Marina Del Rey, CA 90292",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/19,Sherman Oaks Veterinary Group,"3/17/25_GF: Wasnt even marked as a clinic referring clients and they've referred 3 ____________3/3/25_LM DVM Visit
2/5/25_LMDVM Visit",Yes,,Unknown,"Aetna, SO",,3,3,3,,,"DR. WESTON RICHTER, DR. ANDREA RICHTER, DR. MATT LOCKHARTT, DR. MATTHEW GOSS",818-784-9977,so.vetgroup@yahoo.com,"13624 Moorpark Street, Sherman Oaks, CA 91423",,,SPE,,"Dermatology, Gastrointenstinal Distress, Digital Radiology Ultrasonography, Cardiology, CT Scans"
YES - by Mellisa ,Shiloh Veterinary Hospital ( MOBILE ) ,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,, (310) 990-1571,mypet@shilohsvet.com,"4816 Lincoln Blvd, Marina Del Rey, CA 90292",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,Simon Veterinary Surgical,TBD,,Attended,Unknown,"Aetna, SO",Katie,,1,1,,,"Dr. Patricia Simon, DVM, MPH, DACVPM, Dr. Brandon Sherman, DVM, Dr. Robert “Jeff” Mayo
DVM, DABVP, MANZCVSc",310-402-3573,info@simonvetsurgical.com,"14302 Ventura Blvd Sherman Oaks, CA 91423",,,SPE,,"Orthopedic, Soft Tissue, Cold Laser, Platelet-Rich Plasma, Torigen Cancer, Physical Rehabilitation, Tibial Plateau Leveling Osteotomy (TPLO)"
Visit 3/21,Southern California Veterinary Hospital and Animal Skin Clinic,,,,Unknown,"Aetna, SO",,,2,2,,,"Dr. Karen Kelly DVM, ABVP C/F, Dr. Pauline Perry DVM, Dr. Mark C. Rigoni DVM",818-999-1290,"scvh@yourvetdoc.com, jwood-graves@vetcor.com","5421 Topanga Canyon Blvd, Woodland Hills, CA 91367",,,SPE,,Pet Allergy & Dermatology
YES - by Mellisa ,Southpaw Vets,"3/11/25_LM DVM Visit
2/5/25_LM DVM Visit",SUPER CLINIC ,,Unknown,"Aetna, SO",,1,3,3,3/11/25,Michelle - Manager,,818-935-5444,hello@southpawvets.la,"13520 Ventura Blvd. Sherman Oaks, CA 91432",,,GP,,
YES - by Mellisa ,Stewart Veterinary Group,3/6/25_LM,Yes,,Unknown,Venice,,2,1,1,,,Dr. Moller,310-207-0651,info@stewartvet.com,,,,UNKNOWN,,
YES - by Mellisa ,Studio City Animal Hospital,"7/1/25_GF - manager was to busy to come out - left flyers...4/8/25_LM - called to schedule meeting waiting for call back ______3/11/25_LM DVM Visit
9/24/25_DVM Visit, Left with CSR, Referral Packet, Covid protocols still in place, coulnt get inside to chat, left packet and talked to receptionist",SUPER CLINIC ,Attended,Unknown,"Aetna, SO",Christine Cherry ,2,3,3,3/11/25,,"Clyde Pitts, DVM, Robert Fullington, DVM, Hannah Kim, DVM, Mike McClenahan, DVM, Seema Singeetham, DVM, Geoffrey Stein, DVM, Kelley McCrimmon, DVM",818-769-1338,drscah@aol.com  ,"
11800 Ventura Blvd Studio City, CA 91604",,,GP,,
,Sweet Home Veterinary Hospital,,,,,,,,,,,,,(818) 509-2987,"
info@sweethomevets.com","10617 Burbank Boulevard North Hollywood, CA, 91601",,,,,
Visit 3/20 ,Tarzana Pet Clinic,"2/26/25 - 2/27/25_ LM DVM Visit
2/5/25_DVM Visit
9/23/24_Left with CSR, Referral Packet, Possible exotics work, 3 DVM, left packet with Reception, small but busy",,Attended,Unknown,"Aetna, SO","Oliver Parker
Shelby Orland
Gayle grasmehr",,1,1,,,"Dr. Debra Hoffman, Dr. Gayle Grasmehr, Dr. Israel Swann",818-791-0923,tarzanapetclinic@gmail.com,"18452 Burbank Boulevard, Tarzana, CA 91356",,,SPE,,"Internal Medicine, Radiology, Pain Management"
YES - by Mellisa ,The Cat Hospital ,6/1/23_,YES,,Unknown,Venice,,,3,3,,,"Dr. Elston, Dr. Blair",310.305.7297,marina@thecathospital.com,,Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,The Paw Project,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,Dr.Conrad,,info@pawproject.org,"Marina Square, 4716B Lincoln Boulevard
Marina del Rey, CA 90292",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,The Pet Doctors of Sherman Oaks,"""6/17_Spoke to Annie and she said to send email addressed to Dr. Joseph Szanto (Founder/Medical Director) and it will get forward to him- NG                                                                                                                                    sent REF to us unolicited.  Spoke with Dr. Pahlavi
6/1/23_Materials Dropped, DVM Visited""
3/3/25_LM DVM Visit",YES,,Unknown,"Aetna, SO",,,3,3,,,"Dr. Joseph D. Szanto, DVM (Owner),  Dr. Alexis Cox, DVM, Dr. Kolleen Nellett, DVM,  Dr. Missy Achenbach, DVM, Dr. Phusita N Davidovich, DVM",818-981-1899,info@thepetdrs.com,"13756 Ventura Blvd Sherman Oaks, CA 91423",,,GP,,
YES - by Mellisa ,The Veterinary Care Center,"6/1/23_Materials dropped, DVM visited",NO,,Unknown,"SO, Aetna, Venice",,,unkown,unkown,,,"Dr. Karen Heard, Dr. Gary Latos, Dr. Robert Goldman, Dr. Christian Amezcua, Dr. Carrie Bagshaw, Dr. Keri Franco, Dr. Christian Paxton, Dr. Yuko Nishiyama, Dr. Alexandra Orenich, Dr. Odeliah Bouganim, Jacqueline Delacruz Head Technician,",310.773.9286,info@veterinarycarecenter.com,"1507 7th St, Santa Monica, CA 90406",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,The Village Vet,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,,310.773.9286,INFO@VILLAGEVETLA.com,"6455 Santa Monica Blvd, Los Angeles, CA 90038",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/21,THRIVE Woodland Hills ACCESS Specialty Animals Hospital,"6/1/23_ Open 24 hours for emergencies - Requests: Do you require any marketing materials from us? Do you need to reset your vet portal login? Should we organize a ""lunch and learn"" session for your staff? Please reach out to Dawn Agaiby, our Veterinary Relations Partner, at dagaiby@accessvets.com and let us know how we can assist you.",,,Unknown,"Aetna, SO",,,1,unkown,,,"""Dr. Steve Cole
Dr. Amelia Sinkin
Dr. Hajeong """"Vincent"""" Yoon 
Dr. Christina DeAscentis
Dr. Katrina Jung
Dr. Cecilia Kong
Dr. Jaclyn Lai
Dr. Patricia Paravicini
Dr. Ashley Pearson
Dr. Elana Hadar
Dr. Julie Egnor
Dr. Chrystal Nguyen
Dr. Yonathan Buks, Dr. Lindsey Woody, Dr. Jenelle Serex""",818-887-2262,"dagaiby@accessvets.com, sfv.reception@accessvets.com","20051 Ventura Blvd D, Woodland Hills, CA 91364",Google Maps Link,,SPE,,"Emergency Care, Critical Care, Cardiology, Internal Medicine, Neurology, Urgent Advanced Surgery, Veterinary Orthopedics, CrCL Surgery (Cranial Cruciate Ligament), TPLO Surgery (Tibial Plateau Leveling Osteotomy, End-of-Life Care, In-Home Euthansia"
Visit 3/21,Topanga Veterinary Clinic,"2/26/25 - 2/27/25_LM DVM Visit
10/16/24_DVM Visit, Viktoriia - Manager, referral packet, small, weird hours, family run, low priority for now",,,Unknown,"Aetna, SO",,,1,1,,,Dr. Gurmani,818-280-3530,topangaveterinaryclinic@gmail.com,"21913 Devonshire St, Chatsworth, CA 91311",,,GP,,
Visit 3/19,Townsgate Pet Hospital,3/17_GF: New clinic - was not added to this spreadsheet but popped up in our referral report ,Yes,,,"Aetna, SO",,1,1,NEW CLINIC NEVER VISITED! ,,,Jashmid Kiumarrsi ,(805) 230-1999,info@townsgatepethospital.com,"2806 Townsgate Road Suite C, Westlake Village, CA 91361",,,,,
,,,,,,,,,,,,,,,,,Google Maps Link,,,,
Visit 3/19,TrueCare for Pets,"3/14/25_ GF: Emailed DVM open house invite directly to dr______3/5/25,  2/5/25, 6/1/23, ",YES,Attended,Unknown,"Aetna, SO",Dr. Emilie Chaplow,,3,3,,,"Dr. Natalia Soto
Dr. Emilie Chaplow
Dr. Maya Lottati
Dr. Lauren Quarterman
Dr. Jessica Beymer
Dr. Morgan Cavanaugh
Dr. Wendy Chen
Dr. Elizabeth Craig
Dr. Karian de Anda
Dr. Cris Fontes
Dr. Karen Koo
Dr. Lindsey Louderback
Dr. Peter Norfeldt
Dr. Cindy Sibrian 
Dr. Amanda Tallant
Dr. Juli White
Dr. Angel Wu",818-760-3882,info.losangeles@bluepearlvet.com ,"11730 Ventura Blvd, Los Angeles, CA 91604",Google Maps Link,,SPE,,
YES - by Mellisa ,Two Hand Four Paws,6/1/23_called,High Potential,,Unknown,Venice,,,1,1,,,"DR. MICHELLE FULLER, DR. JANE KELLY, DR. ROXANNE LEBRUN",(323) 919-6666,info@twohandsfourpaws.com,"2240 Federal Ave, Los Angeles, CA 90064",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/21,Value Vet Canoga Park,"2/26/25 - 2/27/25_LM DVM Visit, left with CSR, Referral Packet, 3 locations, on in Westwood too, left packet with Reception, no one available",,,Unknown,"Aetna, SO",,,1,1,,,"Dr. Shura Bugreeff, Dr. Oh",818-592-0092,canogapark@myvaluevet.com,"21724 Sherman Way, Canoga Park, CA 91303, USA​",,,GP,,
YES - by Mellisa ,Value Vet Westwood,6/1/23,YES,,Unknown,Venice,,,1,1,,,Dr. Jeff Weber,310.446.3908,westwood@myvaluevet.com,"1278 Westwood Blvd, Los Angeles, CA 90024",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Van Nuys Veterinary Clinic        ,"3/11/25_LM ___2/5/25_DVM Visit 
9/12/24_DVM Visit at 10am, Manager Stephanie, Referral Packet Version 1, Good for Geist visit, sends lots to SO already, make ppt with Dr. Oh, very supportive",SUPER CLINIC ,,Unknown,"Aetna, SO",,12,3,"3/11/25, 2/2/25, 9/12/24",3/11/25,Dr. O,Dr. Oh,818-453-8789,vannuysvetclinic@gmail.com,"7215 Van Nuys Blvd, Van Nuys, CA",,,GP,,
,VCA A Breed Apart,,,Attended,Unknown,,Christina Stepanian,,,,,,"Dr. Maryam Alemzadeh,
Dr. Andrea Allsup, 
Dr. Hajji Hajar,
Dr. Diana Kobashigawa-Maruna; Medical Director,
Dr. Lilit Oganessian
Dr. Darren Yang",626-795-4444,stepanian.christina@gmail.com,"777 S. Arroyo Parkway, Suite 106
Pasadena, CA 91105",Google Maps Link,,,,
Visit 3/21,VCA Adler Animal Hospital,7/1/25_ GF - Met sheila the clinic mangaer very kind - Dr. adler was out took postcards nad biz crrds ----  2/26/25 - 2/27/25_LM DVM Visit,,,Unknown,"Aetna, SO",,,1,1,,,"Dr. Craig Adler DVM, Dr. Kari Camelio, Dr. Maryssa Cha DVM, Dr. Lorie Kiss, Dr. Rogelio Pena DVM", 818-893-6366,au861@vca.com,"16911 Roscoe Blvd. North Hills, CA 91343",,,SPE,,"Dermatology, Diagnostic Imaging, Digital Radiology, EKG, OFA X-Ray, Soft Tissue Surgery, Ultrasound, ZooMED Animal Care"
Visit 3/19,VCA Animal Medical Center,"2/5/25_LM DVM Visit
9/12/24_DVM Visit at 11am, Hospital Manager Stehpanie Gonzalez - 818.786.1651, Referral Packet, Bigger than it looks, not exclusive VCA network, excited for us to open, old school clinic and team, most have been there forever, pre-vca employee base.  They do GP, UC, Soft Tissue, XRay, Dentistry. But not complex, VERY concerned with Local community kind of people",YES,,Unknown,"Aetna, SO",,,2,2,,"Stephanie, Manager","Dr. Andy Gevshenian DVM, Dr. Christine Khanbabian DVM, Dr. Amit Lancet DVM, Dr. Lloyd Pilch DVM, Dr. Svenja Viete: MANAGER - Stephanie Gonzalez",818-786-1651,"Au1108@vca.com, vcaamcsocal@vca.com, vcaamcvannuys@vca.com","14931 Oxnard Street Van Nuys, CA 91411",,,GP,,"Dermatology, Diagnostic Imaging, Digital Radiology, EKG, OFA X-Ray, Soft Tissue Surgery, Ultrasound, Dentistry - complex cases, CT, Overnight Nursnig, Complex soft tissue, IM"
YES - by Mellisa ,VCA Animal Medical Center of Southern California,6/1/23,YES,,Unknown,Venice,,,unkown,unkown,,,,(310) 575-5656,"vcaamcsocal@vca.com, Alan.Schulma@vca.com, Jenny.Youngblood@vca.com, William.Husky@vca.com","2340 S Sepulveda Blvd, Los Angeles, CA 90064",Google Maps Link,2023-06-01,UNKNOWN,,
